"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jun 15 01:13:37 MSK 2025","Sun Jun 15 01:13:40 MSK 2025","3075","","petstore.tests.CreatePetTest","","petstore.tests.CreatePetTest","createPetTest","createPetTest()","Создание питомца"
"passed","Sun Jun 15 01:13:48 MSK 2025","Sun Jun 15 01:13:50 MSK 2025","2107","","petstore.tests.UserTest","","petstore.tests.UserTest","createUserTest","createUserTest()","Создание пользователя"
"failed","Sun Jun 15 01:13:40 MSK 2025","Sun Jun 15 01:13:41 MSK 2025","1327","","petstore.tests.DeletePetTest","","petstore.tests.DeletePetTest","deletePetTest","deletePetTest()","Удаление питомца и проверка, что он отсутствует"
"passed","Sun Jun 15 01:13:50 MSK 2025","Sun Jun 15 01:13:52 MSK 2025","1976","","petstore.tests.UserTest","","petstore.tests.UserTest","getUserByUsernameTest","getUserByUsernameTest()","Получение пользователя по username"
"passed","Sun Jun 15 01:13:43 MSK 2025","Sun Jun 15 01:13:45 MSK 2025","1963","","petstore.tests.UpdatePetTest","","petstore.tests.UpdatePetTest","shouldUpdatePetSuccessfully","shouldUpdatePetSuccessfully()","Обновление питомца"
"passed","Sun Jun 15 01:13:45 MSK 2025","Sun Jun 15 01:13:48 MSK 2025","2627","","petstore.tests.UserTest","","petstore.tests.UserTest","updateUserTest","updateUserTest()","Обновление пользователя"
"failed","Sun Jun 15 01:13:41 MSK 2025","Sun Jun 15 01:13:43 MSK 2025","1979","","petstore.tests.GetPetTest","","petstore.tests.GetPetTest","getPetByIdTest","getPetByIdTest()","Получение питомца по ID"
"failed","Sun Jun 15 01:13:52 MSK 2025","Sun Jun 15 01:13:54 MSK 2025","1963","","petstore.tests.UserTest","","petstore.tests.UserTest","deleteUserTest","deleteUserTest()","Удаление пользователя"
